Episode,Reward,Avg_Reward_Last_1,Avg_Reward_Last_100,Avg_Reward_All,Frames_total,Time_Elapsed,Solved,Distance,Memory_Usage
195,33.317717529844394,33.317717529844394,33.52690874016127,33.55,5850,07:48:08,False,1.221875386352187,15098413056
196,33.366016626807,33.366016626807,33.528717651032615,33.55,5880,07:50:33,False,1.23819158279895,15162384384
197,33.76505262181354,33.76505262181354,33.528811234600916,33.55,5910,07:53:02,False,1.2331299875248327,15138447360
198,33.485578254837,33.485578254837,33.53056651742873,33.55,5940,07:55:27,False,1.2121613579664379,15116132352
199,32.88600061686526,32.88600061686526,33.52278184838995,33.55,5970,07:57:51,False,1.1976850589130308,15186485248
200,32.86023429697856,32.86023429697856,33.519773806694005,33.54,6000,08:00:18,False,1.1767469012203389,15273824256
201,33.55105871416191,33.55105871416191,33.51849011689331,33.54,6030,08:02:42,False,1.2445916446859004,15308754944
202,34.87322976860159,34.87322976860159,33.52594609069251,33.55,6060,08:05:06,False,1.2725720668513447,15243005952
203,33.61441785801504,33.61441785801504,33.518467525723665,33.55,6090,08:07:31,False,1.2317035192199708,15288832000
204,33.22616192642531,33.22616192642531,33.510445426754394,33.55,6120,08:09:56,False,1.208652642491903,15263719424
205,33.26046954568596,33.26046954568596,33.50450050361942,33.55,6150,08:12:20,False,1.2159675945151838,15310368768
206,33.189864834336895,33.189864834336895,33.50519171065416,33.54,6180,08:14:45,False,1.232950543391574,15276957696
207,33.49367492388651,33.49367492388651,33.5038801592551,33.54,6210,08:17:10,False,1.2305375885475835,15314243584
208,34.716767729901946,34.716767729901946,33.51996542363601,33.55,6240,08:19:34,False,1.2632659358520129,15251255296
209,33.70699974098999,33.70699974098999,33.51725449952191,33.55,6270,08:22:03,False,1.2465001439737164,15705821184
210,33.06047191574498,33.06047191574498,33.51526417229469,33.55,6300,08:24:41,False,1.2062505940243164,15973089280
211,33.545208674773605,33.545208674773605,33.509573525042306,33.55,6330,08:27:14,False,1.2346391921467983,16022941696
212,33.87466114860744,33.87466114860744,33.5014151988867,33.55,6360,08:29:48,False,1.2332164950147781,15983960064
213,33.730341588020565,33.730341588020565,33.4976811684277,33.55,6390,08:32:22,False,1.2518811276879425,15928086528
214,33.041794579475905,33.041794579475905,33.49251140151078,33.55,6420,08:34:55,False,1.1967869149194612,15920046080
215,33.07347076143889,33.07347076143889,33.48902215730955,33.55,6450,08:37:29,False,1.2099355594529864,15993794560
216,33.39546397567008,33.39546397567008,33.49191346790988,33.54,6480,08:39:58,False,1.2331702376329348,15662891008
217,32.68736853820487,32.68736853820487,33.47786421584502,33.54,6510,08:42:25,False,1.219971398949174,15706853376
218,33.18344335479386,33.18344335479386,33.47722994477805,33.54,6540,08:44:51,False,1.180423858764964,15683522560
219,32.76601991708838,32.76601991708838,33.47005376880944,33.54,6570,08:47:16,False,1.2025028089751308,15731765248
220,32.750395196262346,32.750395196262346,33.46399373552044,33.53,6600,08:49:42,False,1.197879494691005,15702028288
221,32.26043254144752,32.26043254144752,33.45124649714849,33.53,6630,08:52:07,False,1.1729030172744206,15723552768
222,33.61828891911134,33.61828891911134,33.456480335636364,33.53,6660,08:54:34,False,1.2071911123437278,15692648448
223,32.55026947795472,32.55026947795472,33.450682775117464,33.52,6690,08:57:01,False,1.1818299568337167,15764680704
224,34.431911692334616,34.431911692334616,33.46034357661477,33.53,6720,08:59:30,False,1.2798864822269027,15680012288
225,34.18050742943283,34.18050742943283,33.46220067532105,33.53,6750,09:01:57,False,1.2320524938934923,15702704128
226,33.37506885314483,33.37506885314483,33.45009168735297,33.53,6780,09:04:22,False,1.2078211663764733,15640850432
227,33.42568407985836,33.42568407985836,33.44696806052216,33.53,6810,09:06:47,False,1.2145705046109507,15688314880
